mcsa_id,best_model,aic.fit1,r.sq.fit1,dev.expl.fit1,aic.fit2,r.sq.fit2,dev.expl.fit2,aic.fit12,r.sq.fit12,dev.expl.fit12,rmse_lrmsf.fit1,rmse_lrmsf.fit2,rmse_lrmsf.fit12,rmse_dactive.fit1,rmse_dactive.fit2,rmse_dactive.fit12,range_s1,range_s2,range_s2_rel,range_s1_rel,shapley_lrmsf,shapley_dactive,prop_lrmsf,prop_dactive
351,fit12,697.1687684497603,0.3337,0.3415742102247614,701.3342791520053,0.3233,0.3290252210485818,653.5375503422987,0.4163,0.42593799361074275,0.04090031388724469,0.25021301073248786,0.07932370189331919,0.1944519881028641,0.04299859741598223,0.03841292705038771,1.803983834448821,1.6931701902600351,0.4841565965631137,0.5158434034368863,0.2192434913934612,0.20669450221728156,0.5147310047054031,0.4852689952945969
362,fit12,188.94055971755847,0.1889,0.1965518770294061,153.08907193429016,0.4226,0.43098356889820044,105.12304692614538,0.6328,0.6397481196175436,0.08142896999956037,0.3165066014739667,0.10736373795200231,0.43892789538790666,0.10575439840211155,0.08219040701634714,1.3112568171622097,1.9426140672239338,0.597016334159312,0.402983665840688,0.20265821387437466,0.43708990574316897,0.31677813136133715,0.6832218686386629
376,fit12,781.1149661399172,0.1637,0.16909731736699843,778.0338045213703,0.168,0.17042957601463005,768.0091199255445,0.1958,0.2024301461030449,0.0631042334687117,0.12982438279295258,0.0759109006927771,0.12949041069887246,0.06109478238709382,0.04260735970250803,1.1546980120767605,1.1624011234890173,0.5016622317306194,0.4983377682693805,0.10054894372770665,0.10188120237533826,0.49670933733616573,0.5032906626638343
394,fit12,479.7667344525534,0.5643,0.5698964799474128,660.4467215467379,0.1626,0.16665882367266585,462.86891287337374,0.5939,0.6032354382695103,0.026872572344213575,0.505715113809489,0.024913518103578336,0.15228838827863897,0.06997294528124152,0.05219680284731452,2.3303749497769415,0.6894838235130931,0.22831657877892203,0.7716834212210779,0.5032365472721286,0.0999988909973817,0.8342290842788571,0.16577091572114291
444,fit12,819.7163953852623,0.266,0.26979911183253225,790.7601204898215,0.3149,0.3197127410584121,756.2072500732838,0.3705,0.3777533533162304,0.04904227545872402,0.1502712117496875,0.044543574065181085,0.20959756245109287,0.038852140606628775,0.03973932846354716,1.1211197798663863,1.2419371351222368,0.5255637844542632,0.4744362155457369,0.16391986204517528,0.2138334912710551,0.4339335722797735,0.5660664277202265
462,fit12,233.20409080978465,0.5538,0.5600153858526796,252.49928282020085,0.4997,0.511830609643635,220.87649679143198,0.5941,0.6059868965053526,0.05949069005510512,0.15730879954668744,0.04549899783377414,0.134681415610671,0.04380433417016159,0.05730738530346849,2.113830310263317,0.9869140237649336,0.3182829403038238,0.6817170596961761,0.3270858363571986,0.278901060148154,0.5397572756827911,0.4602427243172089
467,fit1,550.2548233880815,0.3484,0.3550687765517321,633.6133059498127,0.1343,0.14352739760835967,550.3316542071925,0.3483,0.3550736299935677,0.04401074506293952,0.2948314487766968,0.04397969480112109,0.13669380674301204,0.06556158274605825,0.13669253711879709,3.5289728471251536,6.973745821100273e-7,1.976140011581998e-7,0.9999998023859988,0.28330750446847003,0.07176612552509763,0.7978838205292865,0.20211617947071348
480,fit12,565.5311867726401,0.285,0.28827267840773513,617.5894413946429,0.1718,0.18273599642005786,556.0887615796411,0.3058,0.3099578703499982,0.042854272906459615,0.23766147979479912,0.04915550006429463,0.11234834578571752,0.061498834593492,0.07266534837456215,2.09680350731375,0.5946060083222074,0.22092736347545647,0.7790726365245435,0.20774727616883776,0.10221059418116048,0.6702435912798527,0.32975640872014744
597,fit1,345.54580980321924,0.374,0.37994867901912877,435.6584731130325,0.0254,0.03386809234472971,347.53769656003124,0.3708,0.3799480241588961,0.04966685300131634,0.3854877616101669,0.049669752867178445,0.11281721238339779,0.09893753439111651,0.11281714912754161,1.9975671228824705,2.2394386714553576e-6,1.1210818075689585e-6,0.9999988789181925,0.3630143054166476,0.01693371874224853,0.9554314862414792,0.044568513758520736
681,fit1,668.2557411911444,0.4394,0.44693519121098935,782.113231535744,0.181,0.19222154453233042,672.1366557818333,0.43,0.4354625623779644,0.051343832535796635,0.44827626575103563,0.08049518707205881,0.20868666393266944,0.1678342748775322,0.2089026839082454,4.248130326530132,2.0009055868231643e-6,4.7100830025955483e-7,0.9999995289916997,0.3450881045283116,0.09037445784965273,0.7924633122164673,0.2075366877835327
693,fit12,242.51287817115517,0.3801,0.3853630564127023,260.5199241810587,0.2798,0.28586651701236915,218.12081847020607,0.4993,0.5087960463221313,0.08087274120081761,0.3741679368623678,0.09247954747517273,0.3057329234074046,0.150013602077439,0.10530885341776987,1.844198868174485,1.4278537410496595,0.4363786013172405,0.5636213986827595,0.3041462928612322,0.20464975346089906,0.5977764470847906,0.40222355291520934
749,fit1,714.4330925128199,0.2404,0.2460964780841693,798.9460596900352,-0,-4.673783846700622e-13,714.4362499007664,0.2403,0.2460621284284854,0.059182738686983684,0.4440720238200688,0.059333192668947425,0.2762900482927864,0.2462994714748966,0.2763063969631949,2.1165331527258093,7.000009323369964e-12,3.3072996349392137e-12,0.9999999999966926,0.24607930325656102,-1.717482807563177e-5,1.0000697987462976,-6.979874629761808e-5
814,fit12,251.64257076321903,0.3503,0.3536930600121316,262.9353310980875,0.3178,0.32382924574901983,211.78532243648394,0.4628,0.4681446097744861,0.041100938527112184,0.18260398336945385,0.02875236026245025,0.16039632045511817,0.0332046891733575,0.01574095057982844,1.233258833064387,0.90206447894267,0.42244866333369974,0.5775513366663002,0.2490042120187989,0.21914039775568717,0.5318959287788209,0.4681040712211792
858,fit1,645.2202317960749,0.4418,0.4463352495657903,796.8939629530398,0.106,0.11341288664513934,647.212593540799,0.4401,0.44652673432362516,0.053160599970053714,0.4145735712277778,0.05180297742802739,0.18672887499036095,0.08248001675639975,0.1866889242729911,2.7100959383770715,1.3888582865240758e-6,5.124754275673512e-7,0.9999994875245724,0.38972454862213807,0.0568021857014871,0.8727910753484268,0.12720892465157327
877,fit12,784.0332552753358,0.4419,0.44527812548577045,904.2907690614126,0.269,0.2727625265003687,783.3110932194546,0.4439,0.44838015963582784,0.026901474146720325,0.2371956573987583,0.02937255196243701,0.06232939669935305,0.03392561356630319,0.05256256112992374,2.8274116495079595,0.38470160659319375,0.1197658911504704,0.8802341088495297,0.3104478793106148,0.13793228032521304,0.6923764859773435,0.3076235140226565
908,fit2,248.95805958572166,0.145,0.15949508427216266,180.33543478987423,0.5518,0.561540759207081,181.0631847259749,0.5529,0.5668786465489876,0.08790472217107467,0.08267380094519731,0.05109769753305583,0.4833195042794332,0.06776722654282664,0.07002409528383204,0.2605113640579608,2.29914142444107,0.8982239445801071,0.10177605541989293,0.0824164858070346,0.484462160741953,0.1453864708236324,0.8546135291763677
923,fit12,199.08107857670632,0.3911,0.40839344631936847,196.60666674782476,0.4051,0.4207954544557574,176.51197357921217,0.5197,0.5368834185591381,0.08512236718310918,0.277266204986671,0.09946892396751117,0.2860084500644403,0.11760868323414639,0.08917248178510405,1.5405768507341036,1.6396744644758372,0.5155801545097689,0.484419845490231,0.2622407052113746,0.2746427133477635,0.48844999891254526,0.5115500010874547
931,fit12,365.58372594931956,0.4073,0.41811819866346117,403.3557642329152,0.27,0.2738531611577222,335.63053344866074,0.4887,0.49402445726593497,0.03919642041909317,0.3681280931697251,0.0659200427758871,0.23868384576660587,0.07549599433156058,0.06832537163354294,2.199398758013386,1.1994798260191104,0.3529045820154082,0.6470954179845919,0.319144747385837,0.174879709880098,0.6460100156823619,0.3539899843176381
